,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
0,Amigdalin,-0.974,1,457.43200000000013,7,3,7,202.32,-0.77,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C1:C:C:C:C:C:1
1,Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,CC1:O:C:C:C:1C(=O)NC1:C:C:C:C:C:1
2,citral,-2.579,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC=O
3,Picene,-6.6179999999999986,2,278.35400000000004,0,5,0,0.0,-7.87,C1:C:C:C2:C(:C:1):C:C:C1:C:2:C:C:C2:C3:C:C:C:C:C:3:C:C:C:2:1
4,Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,C1:C:C:S:C:1
5,benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,C1:C:C:C2:S:C:N:C:2:C:1
6,"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,ClC1:C:C(Cl):C(C2:C(Cl):C:C:C:C:2Cl):C(Cl):C:1
7,Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CCC2O
8,Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
9,Rotenone,-5.246,1,394.4230000000002,0,5,3,63.22,-4.42,C=C(C)C1CC2:C(:C:C:C3:C:2OC2COC4:C:C(OC):C(OC):C:C:4C2C3=O)O1
10,2-pyrrolidone,0.243,1,85.10600000000002,1,1,0,29.1,1.07,O=C1CCCN1
11,2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,ClC1:C:C:C2:C:C:C:C:C:2:C:1
12,1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,C=CCCC
