,iupac,smiles,expt,calc
0,"4-methoxy-N,N-dimethyl-benzamide",COC1:C:C:C(C(=O)N(C)C):C:C:1,-11.01,-9.625
1,methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.218999999999999
2,3-methylbut-1-ene,C=CC(C)C,1.83,2.452
3,2-ethylpyrazine,CCC1:C:N:C:C:N:1,-5.45,-5.809
4,heptan-1-ol,CCCCCCCO,-4.21,-2.917
5,"3,5-dimethylphenol",CC1:C:C(C):C:C(O):C:1,-6.27,-5.444
6,"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468
7,2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779
8,"1,2-dimethylcyclohexane",C[C@H]1CCCC[C@H]1C,1.58,1.685
9,butan-2-ol,CC[C@H](C)O,-4.62,-3.145
10,dibromomethane,BrCBr,-1.96,-0.405
11,2-methylpentan-3-ol,CC[C@@H](O)C(C)C,-3.88,-2.416
12,2-ethylpyridine,CCC1:C:C:C:C:N:1,-4.33,-3.31
13,ethyl pentanoate,CCCCC(=O)OCC,-2.49,-3.11
14,benzenethiol,SC1:C:C:C:C:C:1,-2.55,-1.501
15,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCC/C(C)=C\CO,-4.78,-2.597
16,indane,C1:C:C:C2:C(:C:1)CCC2,-1.46,-1.7519999999999998
17,ethoxybenzene,CCOC1:C:C:C:C:C:1,-2.22,-2.254
18,4-bromophenol,OC1:C:C:C(Br):C:C:1,-5.85,-5.832999999999999
19,"2,2-dimethylpentane",CCCC(C)(C)C,2.88,2.6860000000000004
20,2-acetoxyethyl acetate,CC(=O)OCCOC(C)=O,-6.34,-8.292
21,ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644
22,cycloheptanol,OC1CCCCCC1,-5.48,-4.345
23,methyl cyclopropanecarboxylate,COC(=O)C1CC1,-4.1,-3.6039999999999996
24,benzonitrile,N#CC1:C:C:C:C:C:1,-4.1,-3.238
25,pentanenitrile,CCCCC#N,-3.52,-2.147
26,2-methylpropan-2-ol,CC(C)(C)O,-4.47,-3.2880000000000003
27,"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.74,-2.6289999999999996
28,propanal,CCC=O,-3.43,-3.148
29,"N,N-dimethylformamide",CN(C)C=O,-7.81,-6.932
30,p-xylene,CC1:C:C:C(C):C:C:1,-0.8,-0.6579999999999999
31,"penta-1,4-diene",C=CCC=C,0.93,2.3569999999999998
32,"2-(2,3-dimethylphenyl)aminobenzoic acid",CC1:C:C:C:C(NC2:C:C:C:C:C:2C(=O)O):C:1C,-6.78,-7.665
33,"N,N-dimethylbenzamide",CN(C)C(=O)C1:C:C:C:C:C:1,-9.29,-8.113
34,N-ethylethanamine,CCNCC,-4.07,-2.986
35,4-tert-butylphenol,CC(C)(C)C1:C:C:C(O):C:C:1,-5.91,-5.542999999999999
36,isopentyl formate,CC(C)CCOC=O,-2.13,-3.4139999999999997
37,decan-1-ol,CCCCCCCCCCO,-3.64,-2.4459999999999997
38,ethyl propanoate,CCOC(=O)CC,-2.68,-3.221
39,nonane,CCCCCCCCC,3.13,3.221
40,N-methylacetamide,CNC(C)=O,-10.0,-8.276
41,non-1-ene,C=CCCCCCCC,2.06,2.995
42,naphthalen-2-ol,OC1:C:C:C2:C:C:C:C:C:2:C:1,-8.11,-7.849
43,"1,2,4-trichlorobenzene",ClC1:C:C:C(Cl):C(Cl):C:1,-1.12,-0.11699999999999999
44,"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62,-18.162
45,methyl butanoate,CCCC(=O)OC,-2.83,-3.552
46,2-hydroxybenzaldehyde,O=CC1:C:C:C:C:C:1O,-4.68,-8.809
47,azetidine,C1CNC1,-5.56,-3.861
48,N-propylpropan-1-amine,CCCNCCC,-3.65,-2.233
49,aniline,NC1:C:C:C:C:C:1,-5.49,-5.542999999999999
50,tetrafluoromethane,FC(F)(F)F,3.12,2.489
51,2-methylbutan-1-ol,CC[C@@H](C)CO,-4.42,-2.995
52,2-iodophenol,OC1:C:C:C:C:C:1I,-6.2,-3.221
53,"2,6-dimethoxyphenol",COC1:C:C:C:C(OC):C:1O,-6.96,-7.393
54,but-1-yne,C#CCC,-0.16,0.284
55,trifluoromethylbenzene,FC(F)(F)C1:C:C:C:C:C:1,-0.25,-0.57
56,hydrazine,NN,-9.3,-6.507999999999999
57,2-methylpyridine,CC1:C:C:C:C:N:1,-4.63,-3.5010000000000003
58,simazine,CCNC1:N:C(Cl):N:C(NCC):N:1,-10.22,-10.914000000000001
59,"2,3-dichlorodibenzo-p-dioxin",ClC1:C:C2:C(:C:C:1Cl)OC1:C:C:C:C:C:1O2,-3.56,-3.59
60,octan-1-amine,CCCCCCCCN,-3.65,-2.589
61,ammonia,N,-4.29,-4.018
62,"1,2-bis(trifluoromethyl)benzene",FC(F)(F)C1:C:C:C:C:C:1C(F)(F)F,1.07,-1.4409999999999998
63,methyl paraben,COC(=O)C1:C:C:C(O):C:C:1,-9.51,-9.785
64,pentylbenzene,CCCCCC1:C:C:C:C:C:1,-0.23,-0.094
65,"1,1-difluoroethane",CC(F)F,-0.11,0.226
66,5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,NC1:C:N:N(C2:C:C:C:C:C:2):C(=O):C:1Cl,-16.43,-16.039
67,butadiene,C=CC=C,0.56,1.955
68,"N,N-dimethylmethanamine",CN(C)C,-3.2,-2.636
69,hexanamide,CCCCCC(N)=O,-9.31,-8.103
70,isobutyl nitrate,CC(C)CO[N+](=O)[O-],-1.88,-1.835
71,"1-(2-hydroxyethylamino)-9,10-anthraquinone",O=C1C2:C:C:C:C:C:2C(=O)C2:C(NCCO):C:C:C:C:21,-14.21,-13.599
72,2-(nitrooxy)ethan-1-ol,O=[N+]([O-])OCCO,-8.18,-6.676
73,octan-2-one,CCCCCCC(C)=O,-2.88,-2.758
74,1-methylpiperazine,CN1CCNCC1,-7.77,-8.173
75,ethanamine,CCN,-4.5,-3.156
76,"cyclohepta-1,3,5-triene",C1=CC=CCC=C1,-0.99,-0.098
77,"9,10-dihydroanthracene",C1:C:C:C2:C(:C:1)CC1:C:C:C:C:C:1C2,-3.78,-4.303999999999999
78,"1,1-dichloroethane",CC(Cl)Cl,-0.84,0.187
79,3-methoxyphenol,COC1:C:C:C:C(O):C:1,-7.66,-6.968999999999999
80,acenaphthene,C1:C:C2:C3:C(:C:C:C:C:3:C:1)CC2,-3.15,-4.198
81,1-bromooctane,CCCCCCCCBr,0.52,1.3519999999999999
82,phenylmethanol,OCC1:C:C:C:C:C:1,-6.62,-5.132999999999999
83,5-bromouracil,O=C1:[NH]:C:C(Br):C(=O):[NH]:1,-18.17,-17.298
84,n-butane,CCCC,2.1,2.588
85,chloromethane,CCl,-0.55,0.764
86,1-bromo-2-methyl-propane,CC(C)CBr,-0.03,0.7559999999999999
87,2-isopropylsulfanylpropane,CC(C)SC(C)C,-1.21,0.14
88,heptane,CCCCCCC,2.67,2.925
89,imidazole,C1:C:[NH]:C:N:1,-9.63,-7.972
90,"1,2,3,7-tetrachlorodibenzo-p-dioxin",ClC1:C:C:C2:C(:C:1)OC1:C:C(Cl):C(Cl):C(Cl):C:1O2,-3.84,-2.66
91,bromacil,CC[C@H](C)N1:C(=O):[NH]:C(C):C(Br):C:1=O,-9.73,-14.495999999999999
92,diiodomethane,ICI,-2.49,-1.882
93,"N,N-dipropyl(propylsulfanyl)formamide",CCCSC(=O)N(CCC)CCC,-4.13,-4.569
94,nitromethane,C[N+](=O)[O-],-4.02,-2.075
95,methoxyethane,CCOC,-2.1,-0.71
96,"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-4.59,-3.638
97,isobutane,CC(C)C,2.3,2.535
98,3-methylbutanoic acid,CC(C)CC(=O)O,-6.09,-8.844
99,"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",CCOP(=O)(OCC)O/C(=C/Cl)C1:C:C:C(Cl):C:C:1Cl,-7.07,-9.029
100,1-chloropropane,CCCCl,-0.33,0.973
