,CMPD_CHEMBLID,exp,smiles
0,CHEMBL596271,3.54,CN1:C(CN2CCN(C3:C:C:C(Cl):C:C:3)CC2):N:C2:C:C:C:C:C:2:1
1,CHEMBL1951080,-1.18,COC1:C:C(OC):C(S(=O)(=O)N2C3:C:C:C:C:C:3CCC2C):C:C:1NC(=O)CSCC(=O)O
2,CHEMBL1771,3.69,COC(=O)[C@H](C1:C:C:C:C:C:1Cl)N1CCC2:S:C:C:C:2C1
3,CHEMBL234951,3.37,O=C(NC1CC2:C:C:C:C:C:2N(C[C@@H](O)CO)C1=O)C1:C:C2:C:C(Cl):S:C:2:[NH]:1
4,CHEMBL565079,3.1,CC1:C:C:C:C(C[C@H](NC(=O)C2:C:C(C(C)(C)C):N:N:2C)C(=O)NCC#N):C:1
5,CHEMBL317462,3.14,OC1(C#CC2:C:C:C(C3:C:C:C:C:C:3):C:C:2)CN2CCC1CC2
6,CHEMBL1951182,-0.72,COC1:C:C(OC):C(S(=O)(=O)NCC2:C:C:C:C:C:2N2CCCCC2):C:C:1NC(=O)CCC(=O)O
7,CHEMBL2030960,0.34,CNC1:C:C:C:C(CCOC2:C:C:C(C[C@H](NC(=O)C3:C(Cl):C:C:C:C:3Cl)C(=O)O):C:C:2C):N:1
8,CHEMBL13097,3.05,COC1:C:C:C(C2:C:O:C3:C:C(OC):C:C(OC):C:3:C:2=O):C:C:1
9,CHEMBL1527751,2.25,OC1:N:C:N:C2:S:C:C(C3:C:C:S:C:3):C:1:2
10,CHEMBL1940306,1.51,CS(=O)(=O)C1:C:C:C(OC2:C:C:C(C#C[C@]3(O)CN4CCC3CC4):C:C:2):C:C:1
11,CHEMBL578201,2.61,CC1:C:C(NC2:N:C(N[C@@H](C)C3:C:C:C(F):C:N:3):C(C#N):N:C:2C):N:[NH]:1
12,CHEMBL276218,-0.08,O=C1CCCCCN1
13,CHEMBL2153181,1.95,CCCSC1:N:C:C:C:C:1C(=O)N1CCCC1C1:C:C:N:C:C:1
14,CHEMBL1916276,1.34,CC1:C:C:C(S(=O)(=O)NC2:C(C(=O)NC3CCCCC3C):C:N:N:2C2:C:C:C:C:C:2):C:C:1
15,CHEMBL93884,3.2,NC1:C:C:C(C2:N:C3:C:C:C(O):C:C:3:S:2):C:C:1
16,CHEMBL2171986,1.6,COC1:C:C:C(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2):C:C:1
17,CHEMBL190044,3.77,CCC(COC(=O)C1:C:C(OC):C(OC):C(OC):C:1)(C1:C:C:C:C:C:1)N(C)C
18,CHEMBL469790,3.15,COC1:C:C(N2:N:N:C3:C:C(C4:C:C:C(Cl):C:C:4):S:C:3:C:2=O):C:C:C:1N1CC[C@@H](O)C1
19,CHEMBL2165055,0.32,CO[C@H]1CN(CCN2:C(=O):C:C:C3:C:C:C(C#N):C:C:3:2)CC[C@H]1NCC1:C:C:C2:C(:N:1)NC(=O)CO2
20,CHEMBL322479,2.92,CC(C)(CCCCCOCCC1:C:C:C:C:C:1)NCCC1:C:C:C(O):C2:N:C(O):S:C:1:2
21,CHEMBL2036736,1.92,O=C(NC1:N:N:C(C(=O)NC2:C:C:C(N3CCOCC3):C:C:2):O:1)C1:C:C:C(Cl):C:C:1
22,CHEMBL2179291,3.17,COC1:C:C:C(OC2:C:C:C:C(CN3CCCC(N4:C:C(C):C(=O):[NH]:C:4=O)C3):C:2):C:C:1
23,CHEMBL2158823,2.17,O=C(O)C1:C:C:C:C(N2CCC(CN3CCC(OC4:C:C:C(Cl):C(Cl):C:4)CC3)CC2):C:1
24,CHEMBL641,1.2,CNCC[C@@H](OC1:C:C:C:C:C:1C)C1:C:C:C:C:C:1
25,CHEMBL1289785,3.93,O=C(CCCC1:C:C:N:C:C:1)N1CCN(C2:C:C:C(Cl):C:C:2Cl)CC1
26,CHEMBL1381135,1.9,COC1:C:N:C(C2:C:C:C:C:N:2):N:C:1N(C)C
27,CHEMBL528217,2.27,C1:C:C:C(C2:C:C(NCCCCCCCCNC3:C:C(C4:C:C:C:C:C:4):N:C4:C:C:C:C:C:3:4):C3:C:C:C:C:C:3:N:2):C:C:1
28,CHEMBL2177621,1.2,CSC1:C(C(=O)NC2C3CC4CC(C3)CC2C4):C:N:N:1C1:C:C:C(C(=O)O):C:C:1
29,CHEMBL475386,1.14,CNC1=NC2:N:C:C:C:C:2C(C2:N:C:C:O:2)=NC1C1:C:C:C:S:1
30,CHEMBL2325699,2.6,CS(=O)(=O)C1(C2:C:C(N3CC4CCC(C3)O4):N:C(C3:C:C:C:C4:[NH]:C:C:C:3:4):N:2)CC1
31,CHEMBL2010845,3.3,CN(C(=O)CC1:C:C:C(N2:C:N:N:N:2):C:C:1)[C@@H]1CCN(CC2:C:C:C(C(F)(F)F):C:C:2)C[C@@H]1F
32,CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
33,CHEMBL2208428,2.34,CS(=O)(=O)C1:C:C:C:C:C:1C(=O)NC[C@@H](O)CN1CCC(OC2:C:C:C(Cl):C(Cl):C:2)CC1
34,CHEMBL1796293,2.57,N#CC1:C:C:C:C:C:1OC1:C:C:C(C(=O)NCC2:C:C:N:C:C:2):C:C:1
