,smiles,FDA_APPROVED,CT_TOX
0,COCCOC(=O)NCCCC[C@@H](C=O)NC(=O)OCCOC,1,0
1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,1,0
2,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],1,0
3,[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=C2:C:C:C(=C(N)[NH3+]):C:C:2)C=C1,1,0
4,[H]/[NH+]=C(\N)C1:C:C:C(OCCCCCOC2:C:C:C(/C(N)=[NH+]/[H]):C:C:2):C:C:1,1,0
5,O=[N+]([O-])[O-],1,0
6,[N]=O,1,0
7,,1,0
8,O=[99Tc](=O)(=O)[O-],1,0
9,O=P([O-])([O-])F,1,0
10,O=S(=O)([O-])[O-],1,0
11,O=S([O-])([O-])=S,1,0
12,[Se],0,1
13,CC(C)C[C@H](NC(=O)[C@H](CC1:C:C:C:C:C:1)NC(=O)C1:C:N:C:C:N:1)B(O)O,1,0
14,CC(C)C[C@H](NC(=O)[C@H](CC1:C:C:C:C:C:1)NC(=O)C1:C:N:C:C:N:1)B(O)O,0,1
15,CC(C)C[C@H](NC(=O)CNC(=O)C1:C:C(Cl):C:C:C:1Cl)B(O)O,0,1
16,C#CC1(OC(N)=O)CCCCC1,1,0
17,C#CC[NH2+][C@@H]1CCC2:C:C:C:C:C:21,1,0
18,C#CCC(CC1:C:N:C2:N:C(N):N:C(N):C:2:N:1)C1:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:1,1,0
19,C#N,1,0
20,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,1,0
21,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,1,0
22,[NH3+][C@@H](CS)C(=O)[O-],1,0
23,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1,0
24,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O,1,0
25,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,1,0
